Aaron	亚伦	
April	艾譜莉拉丁春天，大地初醒之時	
April	阿普里尔	
Arabela	愛勒貝拉拉丁，日耳曼美麗的祭壇，易於請求	
Ariel	艾莉尔	
Arlene	艾琳娜賽爾特誓約、信物。	
Arnold	阿诺德	
Arthur	亚瑟	
Ashley	艾许莉/阿什利/艾希礼	
Astrid	艾絲翠得丹麥神聖的力量；星星的。	
Atalanta	亞特蘭特希臘跑得快的美麗少女。	
Athena	雅典娜希臘希臘神話中，聪明、及戰爭的女神，雅典的保護神。	
Audrey	奧德莉法國高貴顯赫的人。	
Audrey	欧蕊	
August	奥古斯特	
Aurora	奧蘿拉拉丁黎明女神	
Austin	奥斯汀	
Aviva	阿维娃
Barbara	芭芭拉希臘外地來的人，異鄉人；異族人。	
Barbara	笆笆拉	
Barbie	芭比	
Bblythe	布萊茲英國無憂無慮的；快樂的。	
Beata	贝亚特	
Beatrice	碧翠絲拉丁為人祈福或使人快樂的女孩	
Beatrice	比阿特丽斯
Becky	贝基
Belinda	貝琳達德國、義大利像條蛇。有聪明又長壽的人。	
Bella	貝拉拉丁美麗的	
Bella	贝拉
Belle	貝拉法國美麗的；上帝的誓約；聰明高貴。	
Benjamin	本杰明	
Benson	本森	
Ben	本
Bernice	柏妮絲希臘帶著勝利訊息來的人。	
Bertha	柏莎條頓聰明、美麗或燦爛的。	
Bert	伯特	
Beryl	百麗兒希臘綠寶石，幸#092;。	
Bess	貝絲希伯來上帝是誓約。	
Bess	贝斯	
Betsy	貝琪希伯來上帝是誓約。	
Bette	贝蒂	
Betty	貝蒂希伯來上帝是誓約。	
Betty	贝蒂
Beulah	比尤萊希伯來已結婚的。	
Beverly	貝芙麗英國	
Billy	比利	
Bill	比尔	
Blake	布莱克	
Blanche	布蘭琪條頓純潔無暇的；白種人的；白皙美麗的。	
Blanche	布兰奇	
Bobby	鲍比	
Bob	鲍伯	
Bonnie	邦妮拉丁甜美、漂亮、優雅而善良的人。	
Bonnie	邦妮	
Brad	布拉德	
Brandon	布兰登	
Brant	布兰特	
Breenda	布藍達蓋爾挑撥者；劍；黑髮	
Brenda	布伦达
Brent	布伦特	
Brian/Bryan	布赖恩	
Brianna	布莱安娜	
Bridget	布麗姬特蓋爾或愛爾蘭強壯，力量	
Britney	布兰妮	
Brittany	布列塔尼	
Brook	布魯克英國傍溪而居之人。	
Brown	布朗	
Bruce	布鲁斯	
Caleb	迦勒	
Cameron	卡梅伦	
Camille	卡蜜拉拉丁好品性的高貴女子。	
Camille	卡米尔	
Candance	坎蒂絲拉丁熱情，坦#092;，純潔的。	
Candice	坎蒂絲拉丁熱情，坦#092;，純潔的。	
Candice	莰蒂丝	
Candy	坎蒂	
Cara	卡拉義大利朋友；親愛的人。	
Carina	卡瑞娜	
Carlos	卡洛斯	
Carl	卡尔	
Carmen	卡门	
Carol	卡蘿法國歡唱，悅耳歡快的歌	
Caroline	卡洛琳條頓驍勇、剛健和強壯的。	
Caroline	卡罗琳	
Carol	凯罗尔	
Carrie	凯莉
Carry	凯丽	
Cary	凯里	
Caspar	卡斯帕	
Cassandra	卡桑德拉	
Cassie	凯西
Catherine	凱瑟琳希臘純潔的人。	
Catherine	凯瑟琳
Cathy	凱絲希臘純潔的人。	
Cathy	凯茜
Cecilia	塞西莉亞拉丁視力朦朧的人，失明的。	
Cecil	塞西	
Celeste	莎莉絲特拉丁最幸福的人，天國的。	
Charlene	沙琳
Charles	查尔斯	
Charlotte	夏洛特法國身體強健女性化的。	
Charlotte	夏洛特	
Chelsea	切尔西	
Cheney	采尼	
Cherry	綺莉法國仁慈，像櫻桃般紅潤的人。	
Cherry	切莉	
Cheryl	綺麗兒法國珍愛的人，男子漢	
Cheryl	雪莉尔
Chloe	克洛怡希臘青春的，美麗的。	
Chloe	克洛伊	
Christian	克里斯蒂安	
Christina	克里斯蒂娜
Christine	克莉絲汀希臘基督的追隨者，門徒。	
Christine	克里斯汀	
Christopher	克里斯多夫	
Christy	克里斯蒂
Chris	克莉丝
Chris	克里斯
Cindy	辛迪
Claire	克萊兒拉丁燦爛的；明亮的；聰明的。	
Claire/Clair	克莱尔	
Clara	克萊拉拉丁明亮的；聰明的。	
Clark	克拉克	
Claudia	克劳迪娅	
Clementine	克萊曼婷拉丁溫柔且仁慈的人。	
Clement	克莱门特	
Cliff	柯利弗	
Cloris	克劳瑞丝	
Cody	科迪	
Cole	科尔	
Colin	科林	
Connie	康妮
Constance	康斯坦絲拉丁堅定忠實的人。	
Constance	康斯坦斯	
Cora	柯拉希臘處女；少女。	
Coral	卡洛兒希臘，法國珊瑚或贈品，彩石。	
Cora	科拉	
Cornelia	可妮莉雅希臘山茱萸樹，號角。	
Corrine	科瑞恩	
Cosmo	科兹莫	
Crystal	克莉斯多希臘晶瑩的冰，透明的靈魂，沒有欺瞞。	
Crystal	科瑞斯特尔
Cynthia	辛西亞希臘月亮女神黛安娜的稱號。	
Daisy	黛西英國雛菊。	
Daisy	戴茜	
Dale	黛兒英國居住在丘陵間之山谷中者。	
Dana	黛娜希伯來來自丹麥的人；神的母親；聰明且純潔的。	
Daniel	丹尼尔	
Daphne	黛芙妮希臘神話月桂樹；桂冠。	
Daphne	达芙妮	
Darcy	达茜	
Darlene	達蓮娜英國溫柔可愛；體貼地愛	
Darwin	达尔文	
Dave	戴夫
David	大卫	
Dawn	潼恩英國黎明，喚醒，振作。	
Debbie	黛比
Debby	黛碧希伯來蜜蜂；蜂王。	
Deborah	黛博拉希伯來蜜蜂；蜂王。	
Deborah	黛博拉	
Debra	黛布拉	
Deirdre	迪得莉蓋爾憂愁的。	
Delia	迪麗雅希臘牧羊女	
Demi	黛米	
Denise	丹尼絲希臘代表花。	
Dennis	丹尼斯	
Denny	丹尼	
Derek	德里克	
Diana	黛安娜拉丁光亮如白畫；月亮女神	
Diana	黛安娜	
Dick	狄克	
Dinah	黛娜希伯來被評判的人，雅各的女兒。	
Dolores	多洛莉絲拉丁悲傷，痛苦或遺憾。	
Dolores	德洛丽丝	
Dominic	多明尼卡拉丁屬於上帝的。	
Donald	唐纳德	
Donna	唐娜拉丁貴婦，淑女，夫人。	
Donna	堂娜	
Dora	多拉希臘神的贈禮。	
Dora	多拉	
Doreen	多琳希臘神的贈禮。	
Doris	多莉絲希臘來自大海的；海洋女神。	
Doris	桃瑞丝	
Dorothy	桃樂斯希臘上帝的贈禮。	
Douglas	道格拉斯	
Duke	杜克	
Dylan	迪伦	
Eartha	爾莎英國土地或泥土；比喻像大地般堅忍的人。	
Eddie	埃迪	
Eden	伊甸希伯來聖經中的樂園，歡樂之地。	
Edgar	埃德加	
Edison	爱迪生	
Edith	伊蒂絲古英國格鬥；戰爭。	
Editha	伊迪萨	
Edith	伊迪丝	
Edmund	艾德蒙	
Edward	爱德华	
Edwina	艾德文娜英國有價值的朋友；財產的獲得者。	
Edwin	艾德文	
Eileen	愛琳蓋爾光亮的，討人喜歡的。	
Elaine	伊蓮恩法國光亮的；年幼的小鹿。	
Elaine	伊莱恩	
Eleanore	艾琳諾法國光亮的；多產的，肥沃的，有收穫的。	
Eleanor	埃莉诺	
Elijah	以利亚	
Elizabeth	伊莉莎白希伯來上帝的誓約。	
Elizabeth	伊丽莎白	
Ella	艾拉條頓火炬	
Ella	埃拉	
Ellen	艾倫希臘、拉丁火把	
Ellen	爱伦	
Ellie	艾莉
Elliott	艾略特	
Elma	艾爾瑪希臘富愛心的人，親切的。	
Elsa	愛爾莎希臘#092;實的。	
Elsa	埃尔莎
Elsie	艾西希伯來，希臘上帝的誓約，#092;實的。	
Elva	艾娃斯堪的那維亞神奇且聪明的。	
Elvira	艾薇拉拉丁小精靈，白種人的。	
Elvis	埃尔维斯	
Emerald	艾米瑞达	
Emily	艾蜜莉條頓，拉丁勤勉奮發的；有一口響亮圓潤的嗓音之人；拍馬屁的人。	
Emily	艾米丽	
Emma	艾瑪條頓祖先。	
Emma	艾玛	
Enid	伊妮德塞爾特人純潔得毫無瑕庛。	
Enid	伊妮德	
Enterprise	企业英语培训	
Erica	艾麗卡條頓有權力的；帝王的；統治者。	
Erica	埃莉卡
Eric	埃里克
Erin	艾琳蓋爾鑲在海中是的翡翠；和平，安寧之源。	
Estelle	爱斯特尔	
Esther	艾絲特希伯來星星	
Esther	爱丝特	
Ethan	伊桑	
Ethel	艾瑟兒英國尊貴的；出身高貴的。	
Eudora	尤朵拉希臘可愛的贈禮，美好的、愉快的。	
Eudora	尤杜拉	
Eugene	柳真	
Eunice	尤妮絲希臘快樂的勝利。	
Evangeline	伊文捷琳希臘福音的信差，福音；天使	
Evan	埃文	
Eva	伊娃	
Eve	伊芙希伯來生命；賦予生命者生靈之母	
Evelyn	伊芙琳塞爾特生命；易相處的人；令人愉快的人。	
Evelyn	伊夫林	
Eve	伊芙	
Faithe	費滋拉丁忠實可信的人。	
Fannie	芬妮
Fanny	梵妮法國自由之人。	
Fay	費怡法國忠貞或忠#092;；小仙女。	
Fay	费怡	
Fiona	菲奥纳	
Flora	弗羅拉拉丁花；花之神	
Flora	福罗拉	
Florence	弗羅倫絲塞爾特開花的或美麗的。	
Florence	弗罗伦丝	
Flta	上海英语外教	
Ford	福特	
Frances	法蘭西斯法國自由之人，無拘束的人。	
Frances	弗郎西丝
Francis	弗兰克思	
Franklin	富兰克林	
Frank	弗兰克
Freda	弗莉達德國和平；領導者。	
Frederica	菲蕾德翠卡條頓和平的領導者。	
Frederica	弗雷德里卡	
Fred	弗瑞德	
Frieda	弗里达	
Gabrielle	嘉比里拉希伯來上帝就是力量。	
Gabriel	加百利	
Gaby	加比
Gail	蓋爾英國快樂的；唱歌；峽谷	
Garfield	加菲尔德	
Gary	加里	
Gavin	加文	
Gemma	姬瑪義大利寶石	
Genevieve	珍妮芙古威爾斯金髮碧眼的人；白種人。	
Geoffrey	杰弗里	
George	乔治	
Georgia	喬治亞希臘農夫。	
Geraldine	嬌拉汀德國強而有力的長矛。	
Gill	姬兒拉丁少女。	
Gillian	吉莉安
Gina	吉娜
Gino	基诺	
Giselle	吉榭爾條頓一把劍	
Gladys	葛萊蒂絲威爾斯公主。	
Gladys	格拉蒂丝
Glendon	格林顿	
Glen	格林	
Gloria	葛羅瑞亞拉丁榮耀者，光榮者。	
Gloria	格罗瑞娅	
Grace	葛瑞絲英國，法國，拉丁優雅的。	
Grace	格瑞丝	
Greta	格瑞塔
Griselda	葛莉謝爾達德國指對丈夫極順從和忍耐的女人。	
Gustave	葛佳絲塔芙德國，瑞典戰爭。	
Gwendolyn	關德琳塞爾特白色眉毛的。	
Gwendolyn	格温多琳	
Haley	海莉	
Hank	汉克	
Hannah	漢娜希伯來優雅的。	
Hannah	汉娜	
Hardy	哈帝	
Harriet	哈莉特法國家庭主婦	
Harrison	哈里森	
Harry	哈利	
Hayden	海顿	
Hazel	海柔爾英國領袖，指揮官。	
Heather	赫瑟爾英國開花的石楠。	
Hebe	赫柏	
Hedda	赫達德國鬥爭或戰鬥。	
Hedy	赫蒂希臘甜蜜，又令人欣賞的。	
Heidi	海蒂
Helen	海倫希臘，拉丁火把；光亮的。	
Helena	海伦娜	
Hellen	海伦
Heloise	海洛伊絲法國健全的；在戰場上很出名。	
Henna	汉纳	
Henry	亨利	
Hermosa	何蒙莎西班牙美麗。	
Hilary	希拉瑞莉拉丁快樂的。	
Hilda	希爾達條頓戰鬥；女戰士	
Hillary	希拉里/希拉蕊/希拉莉	
Hilton	希尔顿	
Honey	漢妮英國親愛的人。	
Howard	霍华德	
Hugo	雨果	
Hulda	胡爾達條頓優雅，被大眾深深喜愛的。	
Hunk	汉克	
Ian	伊恩	
Ida	艾達德國快樂的，勤奮的，富有的	
Ignativs	伊格纳缇伍兹
Ina	艾娜拉丁母親。	
Ingrid	英格麗斯堪的那維亞女兒；可愛的人。	
Ingrid	英格丽德	
Irene	艾琳法國，拉丁和平；和平女神。	
Irene	艾琳	
Iris	愛莉絲拉丁彩虹女神；鳶尾花。	
Iris	艾丽丝	
Irma	艾爾瑪拉丁，條頓地位很高的；高貴的	
Isaac	艾萨克	
Isabel	伊莎蓓爾希伯來上帝的誓約。	
Isabella	伊莎贝拉	
Isaiah	以赛亚/艾塞亚	
Ishara	爱沙拉	
Ivan	伊凡	
Ivy	艾薇希臘希臘傳說中的神聖食物。	
Ivy	艾维	
Jackson	杰克逊	
Jack	杰克	
Jacob	雅各布	
Jacqueline	賈桂琳法國願上帝保護。	
Jacqueline	杰奎琳	
Jade	小玉	
James	詹姆士
Jamie	婕咪拉丁取而代之者。	
Jamie	詹米
Jane	珍希伯來，法國上帝是慈悲的；少女。	
Janet	珍妮特希伯來，法國少女，上帝的恩賜	
Janet	珍妮特
Jane	简
Janice	珍尼絲希伯來，法國少女；上帝是仁慈的。	
Jasmine	贾斯敏	
Jason	詹森	
Jay	杰伊	
Jean	琴法國上帝是慈悲的。	
Jean	姬恩
Jeffery	杰弗瑞	
Jenna	珍娜	
Jennifer	珍尼佛英國白色的波；施魔法，妖艷，迷人的女人。	
Jennifer	詹妮弗	
Jenny	珍妮希伯來，法國少女。	
Jenny	詹妮
Jerome	杰罗姆	
Jerry	杰瑞
Jesse	杰西	
Jessica	傑西嘉希伯來上帝的恩寵；財富。	
Jessica	杰西卡
Jessie	婕西希伯來上帝的恩寵；財富。	
Jessie	杰西
Jill	姬兒神話少女；戀人。	
Jill	姬尔
Jimmy	吉米
Jim	吉姆
Jo	喬蘇格蘭戀人。	
Joa	瓊法國，神話上帝仁慈的贈禮。	
Joanna	喬安娜希伯來上帝仁慈的贈禮。	
Joanna	乔安娜	
Joanne	希伯來希伯來上帝仁慈的贈禮。	
Joan	琼
Jocelyn	賈思琳拉丁愉快的；快樂的	
Jocelyn	乔斯林	
Jodie	喬蒂希伯來非常文靜；讚美。	
Joe	乔
Johnny	约翰尼
John	约翰	
Joliet	乔莉埃特	
Jonathan	乔纳森	
Jordan	乔丹	
Jose/Joseph	约瑟夫	
Josephine	約瑟芬希伯來增強；多產的女子。	
Josephine	约瑟芬	
Joshua	约书亚	
Josie	乔茜
Joy	喬伊拉丁欣喜；快樂	
Joyce	喬伊絲拉丁快樂的；歡樂的。	
Joyce	乔伊斯
Joy	乔伊	
Judith	朱蒂斯希伯來讚美；文靜之女	
Judith	朱迪丝	
Judy	朱蒂希伯來讚美。	
Judy	朱蒂
Julia	朱麗亞拉丁頭髮柔軟的；年輕。	
Juliana	朱莉安娜	
Julia	朱莉娅	
Julie	朱莉希臘有張柔和平靜臉龐的。	
Juliet	朱麗葉拉丁頭髮柔軟的；年輕的。	
Julie	朱莉	
June	朱恩拉丁六月。	
June	朱恩	
Justin	贾斯汀	
Kama	卡瑪印度愛之神。	
Karen	凱倫希臘純潔。	
Karen	凯琳
Karida	卡瑞达	
Kate	凯特
Katherine	凱瑟琳希臘純潔的。	
Katherine	凯瑟琳
Kathy	凯西
Katie/Kate/Katy	卡蒂	
Katrina	卡特里娜	
Kay	凱伊英國欣喜的；亞瑟王之兄弟。	
Kayla	凯拉	
Kay	凯
Keith	凯斯	
Kelly	凱莉蓋爾女戰士。	
Kelly	凯莉	
Kelsey	凯尔西	
Kennedy	肯尼迪	
Kenneth	肯尼斯	
Kenny	肯尼
Ken	肯
Kevin	凯文	
Kimberley	金百莉英國出生皇家草地上的人。	
Kimberly	特里娜	
Kitty	吉蒂希臘純潔的。	
Kitty	基蒂
Kristin	克莉絲汀希臘基督的追隨者、門徒。	
Kyle	凯尔	
Lance	兰斯	
Lareina	莱瑞拉	
Larry	拉里
Lassie	蕾西	
Laura	羅拉拉丁月桂樹；勝利。	
Laura	劳拉
Laurel	羅瑞爾拉丁月桂樹；勝利。	
Lauren	羅倫拉丁月桂樹。	
Laurent	劳伦特	
Lauren	罗兰/劳伦	
Lawrence	劳伦斯	
Leander	利安德尔	
Lee	李英國草地的居民；庇護所。	
Lee	李	
Leila	莉拉阿拉伯黑髮的美女子；夜晚出生的。	
Lena	莉娜拉丁寄宿；寓所。	
Lena	莉娜
Leona	李奧娜拉丁獅。	
Leonard	雷纳德	
Leopold	利奥波特	
Leo	雷欧
Lesley	雷思麗蓋爾來自老的保壘；冬青園。	
Leslie	莱斯利	
Letitia	列蒂西雅拉丁，西班牙快樂的；欣喜的。	
Lilith	李莉斯希伯來屬於晚上的。	
Lillian	麗蓮希臘一朵百合花，代表純潔；上帝的誓約。	
Lillian	莉莲
Lily	莉莉	
Linda	琳達西班牙美麗的人。	
Linda	琳达	
Lindsay	琳賽條頓來自海邊的菩提樹。	
lindsay	琳赛	
Lisa	麗莎希伯來對神奉獻。	
Lisa	丽莎
Liz	莉斯希伯來上帝就是誓約。	
Liz	莉兹
Lora/Laura	洛拉	
Loren	劳伦
Lorin	劳瑞恩	
Lori	劳瑞
Lorraine	洛倫法國來自法國洛林小鎮的人。	
Lorraine	罗琳	
Louisa	路易莎	
Louise	璐易絲條頓闻名的戰士	
Louise	路易丝	
Louis	路易斯	
Lucia	露西娅	
Lucine	露西妮	
Lucy	露西拉丁帶來光明和聪明的人。	
Lucy	露茜	
Luke	卢克/路加	
Lulu	露露
Lydia	莉蒂亞英國來自里底亞的人，財富。	
Lydia	莉迪娅	
Lydia	莉迪娅/莉蒂亚	
Lynn	琳英國傍湖而居的人	
Lynn	林恩	
Mabel	梅布尔/玛佩尔	
Madeline	马德琳	
Maggie	玛姬
Mamie	玛米
Manda	曼达	
Mandy	曼迪
Marcus	马库斯	
Marcy	马西	
Margaret	玛格丽特	
Mariah	玛丽亚
Marilyn	玛里琳/玛丽莲/玛丽琳	
Marks	马科斯	
Mark	马克	
Marshal	马歇尔	
Mars	马尔斯	
Martha	玛莎	
Martin	马丁	
Marvin	马文	
Mary	玛丽	
Mason	梅森	
Matilda	玛蒂尔达	
Matthew	马修	
Maureen	莫琳	
Mavis	梅维丝	
Maxine	玛克辛	
Max	马克斯	
Mayme	梅米	
May	梅	
Megan	梅甘	
Melinda	梅琳达	
Melissa	梅利莎	
Melody	美洛蒂	
Mercedes	默西迪丝	
Meredith	梅瑞狄斯	
Mia	米娅	
Michael	迈克尔	
Michelle	米歇尔
Mickey	米奇	
Mike	麦克	
Milly	米莉
Miranda	米兰达	
Miriam	米里亚姆	
Miya	米娅	
Molly	茉莉	
Monica	莫尼卡	
Morgan	摩尔根/摩根	
Nancy	南茜
Natalie	娜塔莉	
Natasha	娜塔莎
Nathaniel		
Nathan	纳撒尼尔	
Neil	尼尔	
Nelson	尼尔森	
Nicholas	尼古拉斯	
Nick	尼克	
Nicole	妮可	
Nikita	尼基塔	
Nina	尼娜
Noah	诺亚	
Nora	娜拉/诺拉	
Norman	诺曼	
Norma	诺玛	
Nydia	尼迪亚	
Octavia	奥克塔维亚	
Olina	奥琳娜	
Oliver	奥利弗	
Olivia	奥利维亚	
Ophelia	奥菲莉娅	
Oprah	奥帕
Oscar	奥斯卡	
Owen	欧文	
Pamela	帕梅拉	
Patricia	帕特丽夏	
Patrick	帕特里克/派翠克	
Patty	芭迪
Paula	保拉	
Pauline	波琳
Paul	保罗	
Pearl	珀尔	
Peggy	帕姬
Peter	彼得	
Philip	菲利普	
Philomena	菲洛米娜	
Phoebe	菲比	
Phyllis	菲丽丝	
Polly	波莉	
Priscilla	普里西拉	
Quentina	昆蒂娜
Quentin	昆廷	
Rachel	雷切尔	
Randall	兰德尔
Randolph	伦道夫	
Randy	兰迪
Raymond		
Ray	雷	
Rebecca	丽贝卡	
Reed	列得	
Regina	瑞加娜	
Rex	雷克斯	
Richard	理查德	
Richie	里奇
Riley	赖利/瑞利	
Rita	丽塔
Robert	罗伯特	
Robinson	罗宾逊/鲁宾逊	
Robin	罗宾
Rock	洛克	
Roger	罗杰	
Ronald	罗纳	
Ronald	罗纳德	
Rose	罗丝	
Rowan	罗文	
Roxanne	洛克萨妮	
Roy	罗伊	
Ruth	露丝	
Ryan	赖安	
Sabrina	萨布丽娜	
Sally	萨莉	
Samantha	萨曼莎	
Sami	萨米	
Sammy	萨米
Samuel	塞缪尔	
Sam	萨姆/山姆
Sandra	桑德拉	
Sandra	桑德拉
Sandy	桑迪
Sarah/Sara	莎拉	
Savannah	萨瓦纳/萨瓦娜	
Scarlett	斯佳丽/斯嘉丽	
Scott	斯考特	
Sean	肖恩
Selina	塞琳娜	
Selma	塞尔玛	
Serena	塞丽娜	
Sharon	莎伦
Shawn	肖恩
Sheila	希拉	
Shelley/Shelly	雪莉
Sherry	雪丽
Shirley	雪莉	
Sidney	西德尼	
Sierra	斯莱瑞	
Silvia	西尔维亚	
Simon	西蒙	
Solomon	所罗门	
Sonia	索尼亚	
Sophia	索菲娅	
Spark	斯帕克	
Spencer	斯宾塞	
Spike	斯派克	
Stacy	丝塔茜
Stanley	斯坦利	
Stella	丝特拉
Stephanie	斯蒂芬妮	
Steven	史蒂文
Steve	史蒂夫	
Stewart	斯图尔特	
Stuart	斯图亚特	
Sue	苏
Sunny	萨妮
Susan	苏珊	
Tamara	塔玛拉	
Tammy	苔米
Tanya/	谭雅坦尼娅
Tasha	塔莎	
Ted	泰德	
Terence	特伦斯	
Teresa	特莉萨	
Terry	特里
Tess	苔丝
Thomas	托马斯	
Tiffany	蒂凡妮	
Timothy	蒂莫西	
Tim	提姆	
Tina	蒂娜	
Todd	托德	
Tommy	汤米
Tom	汤姆
Tonya	棠雅/东妮亚	
Tony	托尼
Tracy	特蕾西	
Tyler	泰勒	
Ultraman	奥特曼	
Ulysses	尤利塞斯	
Ursula	厄休拉	
Vanessa	温妮莎	
Van	范	
Venus	维纳斯	
Vera	维拉	
Vernon	弗农	
Vern	弗恩
Vicky	维姬
Victoria	维多利亚	
Victor	维克多	
Vincent	文森特	
Violet	维尔莉特	
Virginia	维吉妮亚	
Vita	维达	
Vivian	薇薇安	
Wanda	旺达	
Warner	华纳	
Warren	沃伦	
Wayne	韦恩	
Wendy	温蒂
Wesley	卫斯理	
Whitney	惠特尼	
William	威廉	
Willy	威利/维利	
Winnie	温妮	
Wynne	韦恩	
Yolanda	尤兰达	
Yvette	伊薇特
Yvonne	伊温妮	
Zachary	圣扎迦利	
Zack	扎克	
Zara	莎拉	
Zelda	塞尔达	
Zoey/Zoe	佐伊	
Zora	卓拉	
